order_id,visit_id,user_id,order_created_at,location_id,shipping_carrier,shipping_method,estimated_delivery_date,delivered_at
087a5767-ba3e-49f5-8b5e-055662cef538,403fd90a-54ff-4c0e-a793-282a6df9f251,f1ffe1c8-ddee-440b-bb79-ae4c4cdf8430,2023-07-05 01:39:19,a5a5b88b-a963-4a90-bb50-ca81e901a224,carrier_1,2-Day,2023-07-07 14:46:19,2023-07-07 16:57:50
3a1ab41c-b16d-420f-97a0-011846d4bf26,69d3627e-214f-45ec-ab7e-6d6bd05e087a,038b1d5d-3abc-41a6-8d30-be50fe040d8c,2024-10-13 09:59:03,a5a5b88b-a963-4a90-bb50-ca81e901a224,carrier_3,Express,2024-10-14 09:48:01,2024-10-14 12:01:43
2241f797-c535-4328-bee1-5e738e05d23f,7fb85e55-94da-4c87-80f6-c287c1c98602,257d97fd-873f-40e1-aee7-bec83ba04aec,2023-01-26 18:41:02,d174d4ba-bf6d-4c5b-ad2c-0d4b02068972,carrier_3,Standard,2023-01-31 16:32:46,2023-02-02 11:15:08
614a0245-98d1-4151-9404-3828d6587003,46f6532a-9c7c-4d97-b8d2-74918c81b849,d298f142-ca81-4cb9-9d39-9537b1775d9e,2024-04-29 13:32:02,d174d4ba-bf6d-4c5b-ad2c-0d4b02068972,carrier_2,Priority Mail,2024-05-02 14:41:38,2024-05-02 12:43:53
8f01f4b5-0060-415f-98f1-7664f62b11bd,c06a3beb-2a91-4a77-ba1a-c6ca805d9de1,5d90c5ff-4af3-446e-bd51-cbb2b159340a,2022-12-04 10:14:38,c2f92176-ff6f-4d8c-9c36-01712b11363c,carrier_1,2-Day,2022-12-06 17:02:02,2022-12-07 12:53:29
32cc5ee7-7bd7-4f4c-b08c-fc86e78fd8b7,9aac7dd9-7912-44ce-9acd-fe12ed2f8624,975be1c6-a325-466d-aba0-251a5909ed5a,2023-09-24 14:59:44,d174d4ba-bf6d-4c5b-ad2c-0d4b02068972,carrier_3,Standard,2023-09-28 09:46:11,2023-09-27 17:48:36
76d6091a-e447-4e70-855c-03b858fb86f4,d68f6ea1-aad7-4e20-9149-ff32687da722,6ba9f8ae-75a7-47c3-b975-eca9811042b1,2021-11-12 16:27:06,2d3c2eee-190b-4d95-b3dd-f117f4e17149,carrier_1,2-Day,2021-11-15 13:18:07,2021-11-17 09:26:52
a4b7d6e0-d14f-4d03-a431-8768875332ee,6218bd55-c4a2-46f1-a94e-f470b5837cf0,cf5c904c-0dcf-4834-8f00-d1761a63f982,2024-10-14 18:42:46,55b6e9ae-da13-4a76-878c-728687928e96,carrier_1,2-Day,2024-10-16 15:23:19,2024-10-15 16:09:19
ed8d056e-8403-4844-81d3-9c5ff2745b22,1d0392be-3374-47a7-af93-d2bf776c457e,7e0c9a7a-0154-4c70-b247-318e2968e872,2023-02-02 17:12:43,a5a5b88b-a963-4a90-bb50-ca81e901a224,carrier_1,2-Day,2023-02-05 14:20:14,2023-02-06 13:41:34
94982700-b432-4c9c-a398-3ffea3e0e894,9cdabf72-f4fe-4bb6-9527-9ef189e1cb1e,6bbefcf0-acaa-4d19-8ca3-0993524fc897,2024-10-13 22:06:41,fca9c789-1ec9-4d79-a50f-756dce951933,carrier_2,Priority Mail,2024-10-17 17:38:39,2024-10-17 12:35:43
777797d3-93a1-457e-8278-d24ab3a15a80,defebe33-0bf7-407b-bebc-d42136edd52f,f3c210b4-c2c0-4784-932f-28d513bfa692,2022-06-21 20:50:04,38d58b37-fef9-4c22-a78d-3de38ca3f657,carrier_1,Ground,2022-06-27 16:10:56,2022-06-27 10:26:55
18150cbf-9d5d-43f8-82dd-858b7f2ab95b,19521e03-e077-4d60-8728-b5731b2a03cb,b07ea680-ee2a-4b5a-a391-232a8c0a771d,2023-08-17 01:18:10,c2f92176-ff6f-4d8c-9c36-01712b11363c,carrier_1,Ground,2023-08-22 14:56:44,2023-08-22 15:19:30
b9fd2327-775f-46fa-8865-3d3c6c5be7c3,87041810-78f4-41af-a074-7c066b3d8aa7,25f68e41-53e7-4193-bf26-40bb8286fd9d,2024-10-13 19:32:14,2542e157-35ac-4061-945d-21b78f3d2e59,carrier_1,2-Day,2024-10-16 15:02:57,2024-10-18 11:00:58
a2e96c41-3b0c-4ace-b497-b54bd63e2b4c,43882d2b-7285-488c-9f9d-1325bbbad892,6249028b-e7b4-407c-a4f1-e7b674954afe,2024-09-15 14:23:41,c2f92176-ff6f-4d8c-9c36-01712b11363c,carrier_1,2-Day,2024-09-18 09:34:27,2024-09-20 09:28:52
